,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,2pointer_PCT_HOME,3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,2pointer_PCT_AWAY,3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
36,2003-12-30,1610612750,Timberwolves,0.506,0.3,0.586,28.0,47.0,1610612741,Bulls,0.389,0.222,0.652,27.0,44.0,1
37,2003-11-21,1610612747,Lakers,0.424,0.222,0.75,22.0,48.0,1610612741,Bulls,0.43,0.417,0.6,22.0,45.0,1
38,2004-01-27,1610612746,Clippers,0.533,0.4,0.783,25.0,43.0,1610612741,Bulls,0.443,0.4,0.667,32.0,34.0,1
39,2004-03-27,1610612737,Hawks,0.382,0.368,0.8,19.0,48.0,1610612741,Bulls,0.393,0.19,0.7,17.0,44.0,1
40,2004-01-21,1610612737,Hawks,0.5,0.4,0.81,21.0,41.0,1610612741,Bulls,0.432,0.273,0.636,21.0,37.0,1
41,2003-11-18,1610612739,Cavaliers,0.481,0.3,0.629,18.0,48.0,1610612746,Clippers,0.319,0.533,0.844,19.0,53.0,1
42,2004-03-31,1610612765,Pistons,0.481,0.389,0.692,29.0,34.0,1610612746,Clippers,0.513,0.2,0.909,23.0,40.0,1
43,2004-03-12,1610612763,Grizzlies,0.438,0.462,0.667,23.0,49.0,1610612746,Clippers,0.395,0.222,0.793,18.0,46.0,1
44,2004-02-11,1610612763,Grizzlies,0.494,0.429,0.735,28.0,37.0,1610612746,Clippers,0.427,0.143,0.861,18.0,44.0,1
45,2004-01-09,1610612761,Raptors,0.414,0.222,0.545,17.0,32.0,1610612746,Clippers,0.448,0.091,0.85,18.0,41.0,0
46,2004-01-24,1610612760,Thunder,0.506,0.44,0.611,20.0,34.0,1610612746,Clippers,0.42,0.25,0.727,17.0,48.0,1
47,2003-10-30,1610612760,Thunder,0.408,0.31,0.645,22.0,47.0,1610612746,Clippers,0.418,0.4,0.824,21.0,53.0,1
48,2004-03-02,1610612758,Kings,0.5,0.25,0.769,25.0,41.0,1610612746,Clippers,0.494,0.389,0.95,20.0,35.0,1
49,2003-12-09,1610612758,Kings,0.45,0.333,0.844,27.0,41.0,1610612746,Clippers,0.39,0.222,0.794,18.0,46.0,1
50,2004-02-08,1610612752,Knicks,0.56,0.6,0.87,19.0,33.0,1610612746,Clippers,0.408,0.286,0.913,16.0,37.0,1
51,2004-01-06,1610612751,Nets,0.417,0.263,0.68,24.0,40.0,1610612746,Clippers,0.368,0.083,0.783,18.0,45.0,1
52,2004-02-21,1610612749,Bucks,0.429,0.3,0.795,24.0,41.0,1610612746,Clippers,0.429,0.308,0.69,16.0,48.0,0
53,2004-01-30,1610612748,Heat,0.427,0.313,0.824,12.0,42.0,1610612746,Clippers,0.452,0.4,0.762,13.0,38.0,1
54,2004-03-09,1610612745,Rockets,0.419,0.273,0.758,20.0,40.0,1610612746,Clippers,0.458,0.188,0.8,21.0,36.0,1
55,2003-12-19,1610612745,Rockets,0.494,0.389,0.7,21.0,48.0,1610612746,Clippers,0.364,0.294,0.696,18.0,43.0,1
56,2004-03-22,1610612743,Nuggets,0.506,0.545,0.727,27.0,36.0,1610612746,Clippers,0.356,0.25,0.9,16.0,43.0,1
57,2003-11-07,1610612743,Nuggets,0.384,0.45,0.708,21.0,51.0,1610612746,Clippers,0.453,0.385,0.765,24.0,52.0,0
58,2004-02-24,1610612742,Mavericks,0.494,0.353,0.857,28.0,48.0,1610612746,Clippers,0.417,0.182,0.69,18.0,34.0,1
59,2003-12-20,1610612742,Mavericks,0.433,0.391,0.621,23.0,46.0,1610612746,Clippers,0.473,0.35,0.769,25.0,55.0,0
60,2004-02-25,1610612740,Pelicans,0.493,0.467,0.741,22.0,40.0,1610612746,Clippers,0.419,0.267,0.85,23.0,41.0,1
61,2004-02-04,1610612738,Celtics,0.474,0.3,1.0,18.0,36.0,1610612746,Clippers,0.405,0.5,0.8,26.0,46.0,0
62,2004-03-28,1610612744,Warriors,0.472,0.348,0.542,27.0,53.0,1610612746,Clippers,0.411,0.25,0.593,18.0,40.0,1
63,2003-11-14,1610612744,Warriors,0.418,0.188,0.76,23.0,51.0,1610612746,Clippers,0.494,0.267,0.786,16.0,40.0,0
64,2004-02-06,1610612764,Wizards,0.52,0.5,0.789,18.0,39.0,1610612746,Clippers,0.376,0.4,0.909,16.0,49.0,1
65,2004-01-26,1610612762,Jazz,0.438,0.25,0.727,14.0,45.0,1610612746,Clippers,0.493,0.375,0.692,19.0,34.0,1
66,2003-12-05,1610612762,Jazz,0.423,0.273,0.742,21.0,42.0,1610612746,Clippers,0.357,0.133,0.652,13.0,35.0,1
67,2004-03-10,1610612759,Spurs,0.456,0.5,0.739,28.0,43.0,1610612746,Clippers,0.449,0.333,0.73,18.0,44.0,1
68,2003-12-23,1610612759,Spurs,0.56,0.467,0.556,32.0,38.0,1610612746,Clippers,0.462,0.375,0.789,18.0,42.0,1
69,2004-03-24,1610612757,Trail Blazers,0.41,0.333,0.8,21.0,36.0,1610612746,Clippers,0.485,0.4,0.895,25.0,40.0,1
70,2004-02-18,1610612757,Trail Blazers,0.476,0.5,0.75,29.0,43.0,1610612746,Clippers,0.373,0.467,0.92,17.0,41.0,1
71,2004-04-13,1610612756,Suns,0.429,0.533,0.625,17.0,42.0,1610612746,Clippers,0.494,0.25,0.667,22.0,53.0,0
72,2004-03-16,1610612756,Suns,0.47,0.167,0.704,11.0,43.0,1610612746,Clippers,0.451,0.4,0.789,21.0,49.0,0
73,2004-01-07,1610612755,76ers,0.506,0.143,0.75,25.0,44.0,1610612746,Clippers,0.386,0.231,0.821,17.0,36.0,1
74,2003-11-19,1610612754,Pacers,0.423,0.182,0.885,21.0,49.0,1610612746,Clippers,0.365,0.083,0.767,13.0,42.0,1
75,2004-01-31,1610612753,Magic,0.5,0.545,0.706,21.0,35.0,1610612746,Clippers,0.533,0.588,0.893,25.0,41.0,0
76,2004-02-10,1610612750,Timberwolves,0.482,0.429,0.733,29.0,46.0,1610612746,Clippers,0.395,0.235,0.741,23.0,43.0,1
77,2003-11-22,1610612750,Timberwolves,0.524,0.333,0.923,30.0,35.0,1610612746,Clippers,0.44,0.438,0.9,20.0,38.0,1
78,2004-03-19,1610612747,Lakers,0.506,0.273,0.657,26.0,37.0,1610612746,Clippers,0.432,0.0,0.769,23.0,43.0,1
79,2004-01-17,1610612747,Lakers,0.44,0.5,0.571,26.0,43.0,1610612746,Clippers,0.376,0.188,0.733,19.0,50.0,1
