,HOME_TEAM_NAME,Year,Attendance
239,Bulls,2012,731326
240,Trail Blazers,2012,676384
241,Mavericks,2012,671050
242,Heat,2012,657855
243,NY Knicks,2012,652179
244,Jazz,2012,637124
245,Clippers,2012,634237
246,Lakers,2012,626901
247,Magic,2012,623587
248,Warriors,2012,622311
249,Celtics,2012,614592
250,Spurs,2012,607095
251,Thunder,2012,600699
252,76ers,2012,577597
253,Timberwolves,2012,577197
254,Nuggets,2012,561966
255,Raptors,2012,555584
256,Wizards,2012,552038
257,Cavaliers,2012,525577
258,Grizzlies,2012,518256
259,Suns,2012,514718
260,Rockets,2012,506994
261,Hawks,2012,501593
262,Pelicans,2012,498618
263,Hornets,2012,486984
264,Bucks,2012,485717
265,Kings,2012,478764
266,Pistons,2012,475638
267,Pacers,2012,467561
268,Nets,2012,460719
269,Bulls,2013,896944
270,Mavericks,2013,821490
271,Heat,2013,819290
272,Trail Blazers,2013,813012
273,Warriors,2013,794320
274,Clippers,2013,788293
275,NY Knicks,2013,780353
276,Lakers,2013,778877
277,Jazz,2013,765915
278,Celtics,2013,744960
279,Spurs,2013,755700
280,Thunder,2013,746323
281,Raptors,2013,743936
282,Nuggets,2013,730616
283,Magic,2013,721414
284,Nets,2013,704702
285,76ers,2013,685412
286,Rockets,2013,683564
287,Grizzlies,2013,681613
288,Wizards,2013,670070
289,Timberwolves,2013,669956
290,Cavaliers,2013,663882
291,Suns,2013,632913
292,Hornets,2013,628293
293,Pacers,2013,626069
294,Hawks,2013,620146
295,Bucks,2013,616469
296,Pistons,2013,606094
297,Pelicans,2013,565930
298,Kings,2013,563743
299,Bulls,2014,890370
300,Mavericks,2014,817982
301,NY Knicks,2014,812292
302,Heat,2014,811036
303,Trail Blazers,2014,809612
304,Warriors,2014,803436
305,Clippers,2014,787692
306,Lakers,2014,771974
307,Spurs,2014,755031
308,Raptors,2014,748339
309,Thunder,2014,746323
310,Jazz,2014,745203
311,Rockets,2014,743082
312,Celtics,2014,742400
313,Pacers,2014,717542
314,Cavaliers,2014,710522
315,Nets,2014,707331
316,Wizards,2014,698068
317,Nuggets,2014,692898
318,Grizzlies,2014,685458
319,Pelicans,2014,672029
320,Kings,2014,667949
321,Magic,2014,666046
322,Suns,2014,650739
323,Hornets,2014,636268
324,Pistons,2014,615238
325,Timberwolves,2014,597157
326,Hawks,2014,587927
327,76ers,2014,568632
328,Bucks,2014,552967
329,Bulls,2015,875091
330,Cavaliers,2015,843042
331,Mavericks,2015,827702
332,NY Knicks,2015,812292
333,Raptors,2015,809824
334,Heat,2015,808223
335,Warriors,2015,803436
336,Trail Blazers,2015,801733
337,Clippers,2015,785892
338,Jazz,2015,772059
339,Lakers,2015,768244
340,Spurs,2015,762855
341,Wizards,2015,747796
342,Rockets,2015,747412
343,Thunder,2015,746323
344,Celtics,2015,721350
345,Hawks,2015,713909
346,Grizzlies,2015,710502
347,Hornets,2015,704886
348,Nets,2015,698529
349,Suns,2015,693862
350,Pacers,2015,691434
351,Magic,2015,688194
352,Pelicans,2015,683757
353,Kings,2015,680049
354,Pistons,2015,625917
355,Bucks,2015,611226
356,Nuggets,2015,602707
357,Timberwolves,2015,595652
358,76ers,2015,571572
359,Bulls,2016,894659
360,Cavaliers,2016,843042
361,Mavericks,2016,825901
362,Raptors,2016,812863
363,NY Knicks,2016,812292
364,Heat,2016,809350
365,Warriors,2016,803436
366,Trail Blazers,2016,794085
367,Jazz,2016,791489
368,Clippers,2016,786910
369,Lakers,2016,778877
370,Spurs,2016,756445
371,Celtics,2016,749076
372,Thunder,2016,746323
373,Rockets,2016,737244
374,Wizards,2016,725426
375,Magic,2016,719275
376,Hornets,2016,716894
377,Kings,2016,707526
378,Suns,2016,701405
379,Pacers,2016,690733
380,Hawks,2016,690150
381,Pelicans,2016,688549
382,Grizzlies,2016,684603
383,Pistons,2016,677138
384,Bucks,2016,621808
385,Nets,2016,620142
386,76ers,2016,610121
387,Timberwolves,2016,581178
388,Nuggets,2016,577898
389,Bulls,2017,888882
390,Cavaliers,2017,843042
391,Raptors,2017,813050
392,Mavericks,2017,811366
393,NY Knicks,2017,810741
394,Jazz,2017,806605
395,Heat,2017,805400
396,Warriors,2017,803436
397,Trail Blazers,2017,792029
398,Clippers,2017,782609
399,Lakers,2017,776917
400,Celtics,2017,760690
401,Spurs,2017,755347
402,Thunder,2017,746323
403,Magic,2017,727875
404,Kings,2017,721928
405,Hornets,2017,710643
406,76ers,2017,710557
407,Suns,2017,708639
408,Wizards,2017,697107
409,Rockets,2017,695903
410,Pacers,2017,684578
411,Grizzlies,2017,677314
412,Pelicans,2017,663099
413,Pistons,2017,655141
414,Hawks,2017,654306
415,Bucks,2017,648952
416,Nets,2017,632608
417,Timberwolves,2017,607203
418,Nuggets,2017,605585
419,Bulls,2018,851824
420,Cavaliers,2018,843042
421,76ers,2018,833503
422,Raptors,2018,813431
423,Mavericks,2018,811453
424,Heat,2018,785250
425,Warriors,2018,803436
426,Trail Blazers,2018,795328
427,NY Knicks,2018,792608
428,Lakers,2018,776327
429,Celtics,2018,744960
430,Spurs,2018,754562
431,Thunder,2018,746323
432,Wizards,2018,718946
433,Jazz,2018,734806
434,Rockets,2018,716008
435,Magic,2018,715728
436,Kings,2018,649571
437,Pistons,2018,713945
438,Nuggets,2018,702796
439,Timberwolves,2018,699308
440,Clippers,2018,697812
441,Suns,2018,674655
442,Bucks,2018,685303
443,Pelicans,2018,673920
444,Hornets,2018,671404
445,Pacers,2018,658119
446,Grizzlies,2018,653863
447,Nets,2018,622278
448,Hawks,2018,590769
449,76ers,2019,838092
450,Bulls,2019,823475
451,Mavericks,2019,820569
452,Raptors,2019,812822
453,Heat,2019,805264
454,Warriors,2019,803436
455,Trail Blazers,2019,799345
456,Cavaliers,2019,793337
457,NY Knicks,2019,779087
458,Lakers,2019,778877
459,Celtics,2019,763584
460,Nuggets,2019,756457
461,Spurs,2019,750616
