,TEAM_NAME,2pointer_PCT_AVG,3pointer_PCT_AVG,FreeThrow_PCT_AVG,Assists_AVG,Rebounds_AVG,WINS,Year,Attendance
0,76ers,43.768292682926834,35.13292682926829,78.76463414634146,20.853658536585364,42.01219512195122,43,2004,788.128
1,76ers,45.97317073170732,36.0280487804878,75.58414634146342,20.158536585365855,40.21951219512195,38,2005,732.686
2,76ers,45.863414634146345,34.96219512195122,76.71341463414633,20.353658536585364,39.65853658536585,35,2006,677.278
3,76ers,46.048780487804876,32.26341463414634,70.14756097560975,20.402439024390244,41.91463414634146,40,2007,608.603
4,76ers,46.08292682926829,31.34512195121951,74.3390243902439,20.085365853658537,41.15853658536585,41,2008,609.675
5,76ers,46.18414634146341,34.13048780487805,75.02073170731707,21.01219512195122,41.0,27,2009,647.898
6,76ers,46.26219512195122,35.19390243902439,77.2890243902439,22.695121951219512,41.80487804878049,41,2010,583.219
7,76ers,44.89090909090909,35.306060606060605,74.17272727272729,22.015151515151516,43.151515151515156,35,2011,604.823
8,76ers,44.45243902439024,35.856097560975606,72.36341463414634,22.768292682926827,41.329268292682926,34,2012,577.597
9,76ers,43.67439024390244,31.26951219512195,70.74634146341464,21.84146341463415,42.743902439024396,19,2013,685.412
10,76ers,40.90121951219512,31.49878048780488,67.78536585365853,20.524390243902438,42.853658536585364,18,2014,568.632
11,76ers,43.267073170731706,33.74390243902439,69.76707317073172,21.524390243902438,41.24390243902439,10,2015,571.572
12,76ers,44.298780487804876,34.00243902439024,76.55975609756098,23.768292682926827,42.84146341463415,28,2016,610.121
13,76ers,47.243089430894315,37.02909407665505,75.92070267131243,27.155342624854818,47.439314750290364,53,2017,710.557
14,76ers,47.19024390243902,35.893902439024394,77.1109756097561,26.914634146341463,47.76829268292683,51,2018,833.503
15,76ers,46.647058823529406,36.20365275142316,74.61992409867173,25.932163187855785,45.530834914611006,39,2019,838.092
16,76ers,47.61840659340659,37.67078754578754,76.85714285714286,23.76739926739927,45.05494505494505,55,2020,639.491
17,Bucks,45.15365853658537,34.84756097560975,76.84146341463415,20.975609756097562,41.34146341463415,30,2004,690.18
18,Bucks,45.443902439024384,38.176829268292686,73.16219512195121,21.573170731707314,41.1829268292683,40,2005,637.009
19,Bucks,46.5,35.02560975609756,73.95731707317073,21.597560975609756,39.1829268292683,28,2006,681.337
20,Bucks,44.95975609756097,34.55487804878049,73.34390243902439,21.46341463414634,41.6829268292683,26,2007,663.629
21,Bucks,44.568292682926824,35.37560975609756,78.19146341463416,21.975609756097562,40.73170731707317,34,2008,639.421
22,Bucks,43.67317073170732,35.72560975609756,74.77073170731707,21.21951219512195,42.98780487804878,46,2009,630.976
23,Bucks,43.09390243902439,34.1780487804878,75.80121951219512,18.84146341463415,40.756097560975604,35,2010,619.453
24,Bucks,44.334848484848486,33.915151515151514,77.85909090909091,23.484848484848484,42.46969696969697,31,2011,631.91
25,Bucks,43.56585365853658,35.575609756097556,73.49878048780486,22.878048780487802,43.96341463414634,38,2012,485.717
26,Bucks,43.982926829268294,35.65243902439024,74.48536585365854,21.463414634146343,41.09756097560975,15,2013,616.469
27,Bucks,46.07439024390244,36.38292682926829,75.2560975609756,23.5609756097561,42.073170731707314,41,2014,552.967
28,Bucks,46.74512195121952,34.486585365853664,74.7,23.109756097560975,41.670731707317074,33,2015,611.226
29,Bucks,47.515853658536585,37.25,76.78658536585365,24.195121951219512,40.390243902439025,42,2016,621.808
30,Bucks,47.90203252032521,35.65017421602788,78.4182055749129,23.22096399535424,39.86004645760743,44,2017,648.952
31,Bucks,47.68048780487805,35.324390243902435,77.18414634146342,26.048780487804876,49.73170731707317,60,2018,685.303
32,Bucks,47.87884250474383,35.721963946869074,73.69909867172676,26.006166982922203,51.749051233396585,53,2019,721.692
33,Bucks,48.78274390243902,38.72753048780487,75.7457012195122,25.56158536585366,48.59542682926829,50,2020,549.036
34,Bulls,43.49146341463415,35.42682926829268,74.94390243902438,21.25609756097561,43.80487804878049,47,2004,809.177
35,Bulls,44.819512195121945,37.613414634146345,73.62682926829268,22.0,42.78048780487805,41,2005,828.384
36,Bulls,45.81219512195121,38.93414634146342,73.46951219512195,22.34146341463415,43.670731707317074,49,2006,868.72
37,Bulls,43.55487804878048,36.6,75.59634146341463,22.085365853658537,43.02439024390244,33,2007,912.364
38,Bulls,45.73048780487805,37.54390243902439,79.41585365853658,21.121951219512194,42.08536585365854,41,2008,901.502
39,Bulls,45.257317073170725,33.60853658536585,75.38048780487804,20.78048780487805,44.536585365853654,41,2009,847.903
40,Bulls,46.32317073170732,36.032926829268284,74.20121951219511,22.28048780487805,44.15853658536585,62,2010,849.76
41,Bulls,45.266666666666666,37.58484848484848,71.95,23.136363636363637,46.66666666666667,50,2011,893.462
42,Bulls,43.859756097560975,35.081707317073175,77.4329268292683,23.0,43.170731707317074,45,2012,731.326
43,Bulls,43.328048780487805,34.65975609756097,78.11219512195122,22.68292682926829,44.146341463414636,48,2013,896.944
44,Bulls,44.31829268292683,35.358536585365854,78.18902439024392,21.71951219512195,45.74390243902439,50,2014,890.37
45,Bulls,44.321951219512194,36.88780487804878,78.20121951219512,22.804878048780488,46.29268292682927,42,2015,875.091
46,Bulls,44.47439024390244,33.44024390243903,79.73536585365852,22.573170731707314,46.29268292682927,41,2016,894.659
47,Bulls,43.584146341463416,35.35121951219512,75.70365853658537,23.451219512195124,44.65853658536585,27,2017,888.882
48,Bulls,45.41829268292683,34.91829268292683,78.82926829268293,21.902439024390244,42.890243902439025,22,2018,851.824
