,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_NAME,2pointer_PCT_HOME,3pointer_PCT_HOME,FreeThrow_PCT_HOME,Assists_HOME,Rebounds_HOME,VISITOR_TEAM_ID,VISITOR_TEAM_NAME,2pointer_PCT_AWAY,3pointer_PCT_AWAY,FreeThrow_PCT_AWAY,Assists_AWAY,Rebounds_AWAY,HOME_TEAM_WINS
17088,2004-05-05,1610612759,Spurs,0.522,0.238,0.6,17.0,33.0,1610612747,Lakers,0.514,0.142,0.389,18.0,42.0,1
17089,2004-05-04,1610612748,Heat,0.41,0.153,0.652,17.0,44.0,1610612740,Pelicans,0.4029999999999999,0.285,0.7859999999999999,18.0,40.0,1
17090,2004-05-04,1610612750,Timberwolves,0.4429999999999999,0.285,0.833,24.0,48.0,1610612758,Kings,0.4379999999999999,0.2,0.857,22.0,39.0,0
17091,2004-05-03,1610612765,Pistons,0.476,0.25,0.667,21.0,48.0,1610612751,Nets,0.271,0.217,0.619,12.0,29.0,1
17092,2004-05-02,1610612740,Pelicans,0.446,0.267,0.733,23.0,44.0,1610612748,Heat,0.387,0.25,0.75,14.0,46.0,1
17093,2004-05-02,1610612759,Spurs,0.4679999999999999,0.2269999999999999,0.429,16.0,40.0,1610612747,Lakers,0.377,0.285,0.667,16.0,45.0,1
17094,2004-04-30,1610612748,Heat,0.4429999999999999,0.3,0.613,16.0,35.0,1610612740,Pelicans,0.354,0.225,0.741,18.0,48.0,1
17095,2004-04-30,1610612750,Timberwolves,0.507,0.636,0.75,21.0,39.0,1610612743,Nuggets,0.455,0.313,0.6,18.0,39.0,1
17096,2004-04-29,1610612765,Pistons,0.4579999999999999,0.176,0.6,27.0,52.0,1610612749,Bucks,0.397,0.181,0.813,19.0,36.0,1
17097,2004-04-29,1610612758,Kings,0.527,0.354,0.8,29.0,36.0,1610612742,Mavericks,0.46,0.3329999999999999,1.0,23.0,49.0,1
17098,2004-04-28,1610612747,Lakers,0.5,0.125,0.63,31.0,38.0,1610612745,Rockets,0.412,0.238,0.773,13.0,38.0,1
17099,2004-04-27,1610612740,Pelicans,0.5,0.291,0.8640000000000001,27.0,37.0,1610612748,Heat,0.405,0.185,0.889,21.0,35.0,1
17100,2004-04-27,1610612743,Nuggets,0.359,0.35,0.6,18.0,51.0,1610612750,Timberwolves,0.455,0.3,0.7,15.0,40.0,0
