,POINTS,GAMES,MIN,ASSISTS,OFFENSIVE_REBOUNDS,PERSONAL_FOULS,PLAYER_ID,Year,TOP_SCORER,2pointer_PROD,3pointer_PROD,FreeThrow_PROD
9,234.0,19,27.05263157894737,2.210526315789474,0.21052631578947367,2.0526315789473686,Allan Houston-275,2004,0,47.23545706371191,6.869806094182825,4.072022160664821
10,2458.0,80,42.225,8.075,0.6375,1.9,Allen Iverson-947,2004,0,252.1125,6.651875,86.8484375
17,638.0,39,33.94871794871795,3.3846153846153846,2.282051282051282,2.5384615384615383,Andrei Kirilenko-1905,2004,0,56.34188034188034,1.1643655489809337,34.567389875082185
23,1517.0,77,38.22077922077922,2.1298701298701297,2.2857142857142856,2.272727272727273,Antawn Jamison-1712,2004,0,134.26834204756284,3.591836734693877,13.66436161241356
25,164.0,24,20.0,3.25,0.375,1.1666666666666667,Anthony Goldwire-924,2004,0,11.90625,3.854166666666667,1.3993055555555556
26,620.0,75,27.013333333333332,4.8933333333333335,0.48,2.28,Anthony Johnson-1533,2004,0,21.6176,1.1008,3.0197333333333334
28,1573.0,83,37.91566265060241,3.36144578313253,2.3855421686746987,2.8433734939759034,Antoine Walker-952,2004,0,134.1477718101321,6.114094933952678,11.594135578458411
30,993.0,85,27.094117647058823,4.211764705882353,0.2823529411764706,1.0705882352941176,Antonio Daniels-1498,2004,0,31.271972318339103,1.3057439446366783,15.943529411764708
33,655.0,72,24.98611111111111,1.3194444444444444,1.4583333333333333,2.1666666666666665,Austin Croshere-1506,2004,0,17.878858024691358,1.5351080246913578,11.910686728395062
34,885.0,46,33.869565217391305,7.869565217391305,0.6956521739130435,2.739130434782609,Baron Davis-1884,2004,0,103.41776937618148,19.74102079395085,21.245274102079392
35,1309.0,84,24.916666666666668,2.107142857142857,0.7142857142857143,2.8452380952380953,Ben Gordon-2732,2004,0,72.68990929705215,6.954081632653062,10.192743764172336
38,475.0,70,15.657142857142857,1.9714285714285715,0.24285714285714285,1.2571428571428571,Beno Udrih-2757,2004,0,13.36591836734694,1.6926530612244899,1.4540816326530612
42,681.0,68,30.5,4.867647058823529,1.25,2.6911764705882355,Bob Sura-682,2004,0,27.951989619377162,2.2525951557093427,6.444636678200693
43,323.0,28,21.0,2.3214285714285716,0.8928571428571429,2.1785714285714284,Bobby Jackson-1517,2004,0,42.53188775510205,5.051020408163265,4.123724489795918
44,1229.0,75,36.96,2.7333333333333334,1.7066666666666668,3.026666666666667,Bobby Simmons-2250,2004,0,85.6992,1.0222222222222221,11.2112
47,482.0,58,21.224137931034484,1.206896551724138,0.39655172413793105,2.8793103448275863,Bostjan Nachbar-2411,2004,0,17.807372175980976,4.057966706302021,3.3448275862068964
51,734.0,95,22.842105263157894,2.2736842105263158,0.42105263157894735,1.6736842105263159,Brent Barry-699,2004,0,14.526759002770083,4.67191135734072,2.063711911357341
53,548.0,60,24.45,1.9333333333333333,1.0833333333333333,3.0,Brian Cardinal-2073,2004,0,21.265833333333333,1.5766666666666664,8.853333333333333
60,265.0,48,17.291666666666668,1.2083333333333333,0.8541666666666666,2.125,Bryon Russell-935,2004,0,7.222222222222222,2.5625,1.7565104166666667
66,1654.0,80,34.3875,2.55,1.9375,3.1125,Carmelo Anthony-2546,2004,0,115.91328125000001,1.0434375,45.564062500000006
68,541.0,80,21.6375,1.4125,0.425,1.2625,Casey Jacobsen-2418,2004,0,10.1875,1.75703125,4.453125
70,1783.0,105,36.304761904761904,5.961904761904762,0.6761904761904762,2.5238095238095237,Chauncey Billups-1497,2004,0,62.34448979591837,9.724897959183675,22.925714285714285
79,1115.0,82,35.02439024390244,4.365853658536586,0.3780487804878049,2.207317073170732,Chucky Atkins-1088,2004,0,52.51041046995836,11.90957763236169,4.921029149315883
81,561.0,72,23.680555555555557,1.5,0.7638888888888888,2.7222222222222223,Clifford Robinson-361,2004,0,22.43402777777778,2.821373456790124,1.222222222222222
82,1464.0,66,36.56060606060606,3.409090909090909,1.0606060606060606,2.893939393939394,Corey Maggette-1894,2004,0,96.20064279155189,1.9669421487603305,84.91528925619836
85,42.0,8,18.375,3.375,0.625,2.75,Cory Alexander-724,2004,0,7.3125,1.421875,1.6875
87,1208.0,71,35.478873239436616,2.7746478873239435,0.6901408450704225,2.323943661971831,Cuttino Mobley-1749,2004,0,87.26006744693514,11.43007339813529,7.275540567347748
88,204.0,29,19.06896551724138,0.6206896551724138,0.41379310344827586,2.310344827586207,Dahntay Jones-2563,2004,0,14.322235434007133,1.2366230677764567,2.394768133174792
91,208.0,21,27.19047619047619,1.2857142857142858,1.5238095238095237,2.8095238095238093,Damien Wilkins-2863,2004,0,34.4421768707483,2.4489795918367347,2.1768707482993195
92,1136.0,97,31.237113402061855,4.237113402061856,0.17525773195876287,1.4948453608247423,Damon Jones-1800,2004,0,35.71208417472633,17.171644170475076,1.0602614518014666
93,1277.0,81,33.71604938271605,5.654320987654321,0.691358024691358,1.9506172839506173,Damon Stoudamire-757,2004,0,81.14692882182595,13.51775643956714,5.520195092211553
95,882.0,66,30.742424242424242,5.2272727272727275,0.5151515151515151,3.0303030303030303,Dan Dickau-2424,2004,0,52.163682277318635,4.647382920110193,9.710743801652892
102,251.0,39,22.333333333333332,4.0256410256410255,0.7692307692307693,2.128205128205128,Darrell Armstrong-353,2004,0,15.435897435897436,1.9145299145299144,1.2669296515450361
106,1005.0,87,34.62068965517241,3.310344827586207,0.4827586206896552,2.7011494252873565,David Wesley-133,2004,0,41.694015061434804,5.682124455013873,4.563614744351962
109,402.0,37,26.18918918918919,1.7837837837837838,0.918918918918919,1.837837837837838,DeShawn Stevenson-2052,2004,0,45.63038714390066,1.1687363038714391,3.897005113221329
111,496.0,57,20.280701754385966,1.1228070175438596,0.7192982456140351,2.2280701754385963,DerMarr Johnson-2035,2004,0,19.830101569713758,2.3933518005540164,2.352723915050785
112,428.0,42,28.428571428571427,3.3095238095238093,0.5714285714285714,2.0952380952380953,Derek Anderson-1507,2004,0,32.56802721088435,4.931972789115647,3.452380952380953
113,876.0,73,29.80821917808219,4.109589041095891,0.5205479452054794,2.3972602739726026,Derek Fisher-965,2004,0,41.91105273034341,5.897541752674047,6.59560893225746
116,102.0,12,22.916666666666668,1.1666666666666667,0.75,2.0833333333333335,Devean George-1904,2004,0,22.666666666666668,6.993055555555555,1.875
117,478.0,51,21.941176470588236,1.7254901960784315,0.6470588235294118,1.4509803921568627,Devin Brown-2484,2004,0,24.31603229527105,1.9454056132256825,5.0588235294117645
118,402.0,53,19.09433962264151,2.811320754716981,0.4716981132075472,2.1320754716981134,Devin Harris-2734,2004,0,16.49412602349591,1.6375934496262017,2.705589177643289
121,2340.0,91,38.84615384615385,3.10989010989011,1.3296703296703296,2.868131868131868,Dirk Nowitzki-1717,2004,0,157.3440405748098,3.1467214104576744,69.92307692307692
123,735.0,60,26.483333333333334,1.35,1.5,2.2333333333333334,Donyell Marshall-923,2004,0,41.42333333333333,14.651666666666667,1.7305555555555556
129,1086.0,86,26.313953488372093,4.546511627906977,0.45348837209302323,1.558139534883721,Earl Boykins-1863,2004,0,43.964575446187126,1.3098972417522987,12.886965927528394
130,630.0,83,22.120481927710845,4.493975903614458,0.4578313253012048,2.325301204819277,Earl Watson-2248,2004,0,20.09348236318769,1.3078821309333721,1.8899695166206998
131,265.0,55,16.454545454545453,1.4181818181818182,0.2545454545454545,1.6545454545454545,Eddie Gill-2109,2004,0,5.871074380165289,1.1917355371900826,1.8512396694214877
134,1223.0,95,35.757894736842104,2.642105263157895,0.5052631578947369,3.2421052631578946,Eddie Jones-224,2004,0,45.6367867036011,8.907257617728531,5.860387811634349
140,286.0,37,17.64864864864865,1.0810810810810811,0.32432432432432434,1.3783783783783783,Eric Piatkowski-15,2004,0,14.850255661066473,4.3301680058436816,1.7677136596055516
147,321.0,32,24.40625,1.78125,0.5,1.75,Flip Murray-2436,2004,0,39.9990234375,1.7431640625,3.90234375
150,419.0,62,18.403225806451612,1.2741935483870968,0.45161290322580644,1.6290322580645162,Fred Hoiberg-697,2004,0,9.272632674297606,2.531217481789802,1.9807492195629552
151,866.0,89,27.55056179775281,2.348314606741573,0.39325842696629215,2.056179775280899,Fred Jones-2410,2004,0,25.679712157555866,3.0420401464461557,5.221562933972982
155,2274.0,90,40.98888888888889,5.2555555555555555,1.011111111111111,3.1,Gilbert Arenas-2240,2004,0,154.53,17.592222222222222,53.73604938271604
162,934.0,66,26.09090909090909,2.303030303030303,0.9393939393939394,2.106060606060606,Hedo Turkoglu-2045,2004,0,58.328512396694215,5.209366391184573,9.573232323232324
166,746.0,61,28.131147540983605,2.2459016393442623,0.5901639344262295,2.0491803278688523,JR Smith-2747,2004,0,52.373018005912385,5.463047567858103,4.599032518140285
