,1,2,3,4,5,6,7,8,9,10,11,Year
426,Trail Blazers,41,795328,19398,99.8,41,17556,92.7,82,18477,96.3,2018
427,NY Knicks,41,792608,19331,97.6,41,18179,94.8,82,18762,96.2,2018
428,Lakers,41,776327,18934,99.3,41,18655,98.6,82,18796,99.0,2018
429,Celtics,41,744960,18624,100.0,41,18588,98.1,82,18606,99.0,2018
430,Spurs,41,754562,18403,99.0,41,18427,97.1,82,18415,98.1,2018
431,Thunder,41,746323,18203,100.0,41,18866,99.2,82,18534,99.6,2018
432,Wizards,41,718946,17973,88.6,41,17682,92.1,82,17826,90.3,2018
433,Jazz,41,734806,17922,90.0,41,17495,92.5,82,17708,91.2,2018
434,Rockets,41,716008,17900,99.2,41,18369,96.7,82,18137,97.9,2018
435,Magic,41,715728,17893,94.9,41,17651,91.9,82,17770,93.4,2018
436,Kings,41,649571,17555,100.3,41,17478,91.8,82,17515,95.7,2018
437,Pistons,41,713945,17413,82.9,41,17959,93.7,82,17686,88.1,2018
438,Nuggets,41,702796,17141,89.5,41,17871,94.0,82,17506,91.7,2018
439,Timberwolves,41,699308,17056,89.9,41,17850,93.8,82,17453,91.9,2018
440,Clippers,41,697812,17019,89.3,41,17735,93.7,82,17373,91.4,2018
441,Suns,41,674655,16866,91.6,41,17610,92.4,82,17243,92.0,2018
442,Bucks,41,685303,16714,89.3,41,18380,95.2,82,17547,92.3,2018
443,Pelicans,41,673920,16437,95.6,41,17911,93.9,82,17174,94.7,2018
444,Hornets,41,671404,16375,85.8,41,17623,91.6,82,16999,88.7,2018
445,Pacers,41,658119,16051,88.4,41,17749,91.8,82,16889,90.1,2018
446,Grizzlies,41,653863,15947,88.0,41,17348,91.2,82,16648,89.7,2018
447,Nets,41,622278,15556,87.7,41,17687,93.5,82,16622,90.7,2018
448,Hawks,41,590769,14409,76.9,41,17854,92.7,82,16088,84.7,2018
449,76ers,41,838092,20441,100.6,41,17895,94.3,82,19168,97.5,2019
450,Bulls,41,823475,20084,96.0,41,17822,94.7,82,18953,95.4,2019
451,Mavericks,41,820569,20013,104.2,41,18073,95.9,82,19043,100.1,2019
452,Raptors,41,812822,19824,100.1,41,18239,95.7,82,19032,98.0,2019
453,Heat,41,805264,19640,100.2,41,18176,95.5,82,18908,97.9,2019
454,Warriors,41,803436,19596,108.5,41,18790,100.0,82,19193,104.2,2019
455,Trail Blazers,41,799345,19496,100.3,41,17992,96.1,82,18753,98.2,2019
456,Cavaliers,41,793337,19349,99.6,41,17632,92.6,82,18490,96.1,2019
457,NY Knicks,41,779087,19002,95.9,41,17566,93.4,82,18284,94.7,2019
458,Lakers,41,778877,18997,99.7,41,18862,100.3,82,18929,100.0,2019
459,Celtics,41,763584,18624,100.0,41,18671,97.5,82,18647,98.8,2019
460,Nuggets,41,756457,18450,94.5,41,17474,93.6,82,17962,94.1,2019
461,Spurs,41,750616,18307,98.5,41,17381,92.3,82,17844,95.4,2019
462,Jazz,41,750546,18306,100.0,41,17517,93.0,82,17911,96.4,2019
463,Thunder,41,746323,18203,100.0,41,17866,94.7,82,18034,97.3,2019
464,Rockets,41,740392,18058,100.1,41,17921,95.0,82,17989,97.5,2019
465,Bucks,41,721692,17602,101.5,41,18185,95.9,82,17893,98.6,2019
466,Magic,41,720024,17561,93.2,41,17659,92.4,82,17610,92.8,2019
467,Wizards,41,716996,17487,86.2,41,17509,91.8,82,17498,89.0,2019
468,Clippers,41,710327,17325,90.9,41,17233,92.1,82,17279,91.5,2019
469,Kings,41,700975,17096,97.7,41,17199,91.1,82,17148,94.3,2019
470,Pacers,41,689310,16812,92.6,41,17957,93.7,82,17377,93.1,2019
471,Hornets,41,676570,16501,86.5,41,17648,92.8,82,17074,89.7,2019
472,Pistons,41,675963,16486,78.5,41,17819,94.1,82,17153,85.9,2019
473,Pelicans,41,656183,16004,93.1,41,17667,93.4,82,16835,93.3,2019
474,Grizzlies,41,607564,15578,86.0,41,17579,93.3,82,16604,89.8,2019
475,Hawks,41,628440,15327,81.8,41,17786,93.7,82,16557,87.8,2019
476,Timberwolves,41,627543,15305,80.7,41,17641,93.7,82,16473,87.1,2019
477,Suns,41,627023,15293,83.0,41,17982,95.3,82,16638,89.2,2019
478,Nets,41,612597,14941,84.3,41,18085,94.7,82,16513,89.7,2019
479,76ers,35,639491,20628,102.4,38,17706,94.5,73,19122,98.4,2020
480,Mavericks,38,682096,20061,104.5,37,18249,97.6,75,19169,101.2,2020
481,Raptors,36,633456,19795,100.0,36,17789,94.9,72,18792,97.5,2020
482,Heat,36,629771,19680,100.4,37,18127,96.7,73,18891,98.5,2020
483,Trail Blazers,36,608634,19633,101.0,38,17941,96.5,74,18748,98.7,2020
484,Nuggets,37,633153,19186,98.3,36,17163,92.6,73,18190,95.6,2020
485,Celtics,36,610864,19089,102.5,36,18409,97.6,72,18749,100.1,2020
486,Clippers,36,610176,19068,100.0,36,17855,96.1,72,18461,98.1,2020
487,Lakers,35,588907,18997,99.6,36,18877,101.7,71,18936,100.7,2020
488,NY Knicks,33,620789,18811,95.0,33,17767,94.1,66,18289,94.5,2020
489,Bulls,34,639352,18804,89.9,31,17767,94.3,65,18310,91.9,2020
490,Spurs,34,550515,18350,100.0,37,17588,93.5,71,17951,96.5,2020
491,Jazz,35,567486,18306,100.0,37,17261,92.0,72,17767,95.8,2020
492,Thunder,37,600699,18203,100.0,35,17855,95.6,72,18034,97.8,2020
493,Rockets,36,578458,18076,100.1,36,18072,96.6,72,18074,98.3,2020
494,Warriors,34,614176,18064,100.0,31,17454,93.6,65,17773,96.9,2020
495,Cavaliers,36,623576,17816,91.7,29,18254,94.9,65,18014,93.1,2020
496,Bucks,35,549036,17710,102.1,38,17892,94.8,73,17805,98.1,2020
497,Magic,35,529870,17092,90.7,38,17243,92.0,73,17171,91.4,2020
498,Kings,35,520663,16795,95.5,37,17739,94.1,72,17282,94.8,2020
499,Wizards,36,532702,16646,80.8,36,17587,92.2,72,17117,86.3,2020
500,Pacers,36,529002,16531,92.2,37,17297,91.8,73,16914,92.0,2020
501,Pelicans,36,528172,16505,97.9,36,18234,96.7,72,17369,97.2,2020
502,Nets,36,524907,16403,92.5,36,17910,93.7,72,17157,93.1,2020
503,Hawks,34,545453,16042,95.0,33,17786,92.9,67,16901,93.9,2020
504,Grizzlies,37,523297,15857,86.2,36,17508,93.3,73,16670,89.7,2020
505,Suns,39,550633,15732,87.1,34,17660,94.5,73,16622,90.6,2020
506,Pistons,33,509463,15438,75.9,33,17641,93.5,66,16539,84.4,2020
507,Hornets,31,478591,15438,80.9,34,17564,92.2,65,16550,86.8,2020
508,Timberwolves,32,482112,15066,79.4,32,17463,93.4,64,16264,86.4,2020
529,Bulls,41,856148,20881,99.8,41,18198,96.3,82,19556,98.2,2022
530,76ers,41,846867,20655,98.4,41,16589,87.4,82,18622,93.2,2022
531,Mavericks,41,809315,19739,102.8,41,17092,91.5,82,18415,97.2,2022
532,Heat,41,804761,19628,100.1,41,17294,91.5,82,18476,96.0,2022
533,Celtics,41,766240,19156,100.0,41,17583,93.0,82,18360,96.5,2022
534,Raptors,41,547343,18873,95.3,41,17233,91.1,82,17913,92.9,2022
535,Lakers,41,764631,18649,97.8,41,18179,96.9,82,18414,97.3,2022
536,NY Knicks,41,763484,18621,94.0,41,17722,93.9,82,18177,94.0,2022
537,Cavaliers,41,758228,18493,95.2,41,17134,90.4,82,17813,92.8,2022
538,Jazz,41,750546,18306,100.0,41,16898,90.3,82,17610,95.1,2022
539,Warriors,41,740624,18064,100.0,41,18111,96.5,82,18087,98.2,2022
540,Bucks,41,715581,17453,100.6,41,17656,92.9,82,17555,96.6,2022
541,Nets,41,711539,17354,97.9,41,17456,91.6,82,17405,94.6,2022
542,Trail Blazers,41,705608,17209,88.5,41,16559,88.6,82,16888,88.6,2022
543,Hornets,41,700755,17091,89.6,41,17503,92.6,82,17294,91.1,2022
544,Nuggets,41,695262,16957,86.9,41,16864,90.3,82,16911,88.5,2022
545,Clippers,41,694005,16926,88.8,41,16910,90.4,82,16918,89.6,2022
546,Suns,41,679252,16567,91.8,41,17403,93.0,82,16979,92.4,2022
547,Hawks,41,672742,16408,97.2,41,17073,89.2,82,16736,93.0,2022
548,Pistons,41,663556,16184,79.6,41,16752,88.4,82,16468,83.9,2022
549,Timberwolves,41,657148,16028,84.5,41,16811,89.7,82,16419,87.1,2022
550,Grizzlies,41,646785,15775,85.7,41,17740,94.5,82,16757,90.2,2022
551,Rockets,41,638977,15584,86.3,41,16655,88.8,82,16120,87.6,2022
552,Wizards,41,637215,15541,75.4,41,16939,90.1,82,16231,82.4,2022
553,Pelicans,41,635941,15510,92.0,41,16727,88.9,82,16103,90.4,2022
554,Magic,41,622881,15192,80.6,41,17062,89.8,82,16127,85.2,2022
555,Spurs,41,615588,15014,81.8,41,16939,90.3,82,15965,86.0,2022
556,Thunder,41,595112,14877,81.7,41,16638,88.4,82,15768,85.2,2022
557,Kings,41,577583,14439,82.1,41,16598,88.4,82,15532,85.4,2022
558,Pacers,41,588743,14359,80.1,41,16794,88.5,82,15577,84.5,2022
